sentence	part	category
נשים מגוש טלמונים שבחבל בנימין שוב הפגינו במחאה על המצב הבטחוני הקשה בכבישים . 	 גוש טלמונים 	15.0
נשים מגוש טלמונים שבחבל בנימין שוב הפגינו במחאה על המצב הבטחוני הקשה בכבישים . 	 חבל בנימין 	15.0
"נוסף על המתח הבטחוני הקשה בדרכים מאז תחילת המהומות , בתקופת ראש השנה , סגר צה""ל שני צירים לאזור שלנו "" , מספרת ציפי שליסל , תושבת היישוב חרשה : "" את הציר המוליך לירושלים , 'ציר עוקף ביתוניה ' , ואת 'ציר ולרשטיין ' , המוליך לבית אל ולמזרח בנימין . "	 תחילת המהומות 	17.0
"נוסף על המתח הבטחוני הקשה בדרכים מאז תחילת המהומות , בתקופת ראש השנה , סגר צה""ל שני צירים לאזור שלנו "" , מספרת ציפי שליסל , תושבת היישוב חרשה : "" את הציר המוליך לירושלים , 'ציר עוקף ביתוניה ' , ואת 'ציר ולרשטיין ' , המוליך לבית אל ולמזרח בנימין . "	 ראש השנה 	17.0
"נוסף על המתח הבטחוני הקשה בדרכים מאז תחילת המהומות , בתקופת ראש השנה , סגר צה""ל שני צירים לאזור שלנו "" , מספרת ציפי שליסל , תושבת היישוב חרשה : "" את הציר המוליך לירושלים , 'ציר עוקף ביתוניה ' , ואת 'ציר ולרשטיין ' , המוליך לבית אל ולמזרח בנימין . "	 תושבת היישוב 	9.0
"נוסף על המתח הבטחוני הקשה בדרכים מאז תחילת המהומות , בתקופת ראש השנה , סגר צה""ל שני צירים לאזור שלנו "" , מספרת ציפי שליסל , תושבת היישוב חרשה : "" את הציר המוליך לירושלים , 'ציר עוקף ביתוניה ' , ואת 'ציר ולרשטיין ' , המוליך לבית אל ולמזרח בנימין . "	 ציר ולרשטיין 	15.0
"נוסף על המתח הבטחוני הקשה בדרכים מאז תחילת המהומות , בתקופת ראש השנה , סגר צה""ל שני צירים לאזור שלנו "" , מספרת ציפי שליסל , תושבת היישוב חרשה : "" את הציר המוליך לירושלים , 'ציר עוקף ביתוניה ' , ואת 'ציר ולרשטיין ' , המוליך לבית אל ולמזרח בנימין . "	 ציר ולרשטיין 	16.0
"מדי שבוע אנו יורדות לצומת בשיירה של כלי רכב עם דגלי ישראל "" , אומרת שליסל , ומוסיפה מידע על היישוב שבו היא מתגוררת : "" היישוב חולש על יישובי טלמונים ודולב , ובעצם כמעט על כל הארץ . "	 כלי רכב 	12.0
"מדי שבוע אנו יורדות לצומת בשיירה של כלי רכב עם דגלי ישראל "" , אומרת שליסל , ומוסיפה מידע על היישוב שבו היא מתגוררת : "" היישוב חולש על יישובי טלמונים ודולב , ובעצם כמעט על כל הארץ . "	 דגלי ישראל 	19.0
ועדת הכספים נמנעה אתמול מלאשר את תקציבה של רשות השידור 	 ועדת הכספים 	18.0
ועדת הכספים נמנעה אתמול מלאשר את תקציבה של רשות השידור 	 רשות השידור 	18.0
חברי הוועדה מתחו ביקורת על הצעת התקציב החדשה שהגישה הרשות , וטענו כי היא לא עמדה בתוכניות ההבראה שלה . 	 חברי הוועדה 	9.0
חברי הוועדה מתחו ביקורת על הצעת התקציב החדשה שהגישה הרשות , וטענו כי היא לא עמדה בתוכניות ההבראה שלה . 	 הצעת התקציב 	18.0
חברי הוועדה מתחו ביקורת על הצעת התקציב החדשה שהגישה הרשות , וטענו כי היא לא עמדה בתוכניות ההבראה שלה . 	 תוכניות ההבראה 	16.0
"בג""ץ דן בעתירה משותפת של "" החברה להגנת הטבע "" ושל פעיל הימין נועם פדרמן . "	 החברה להגנת הטבע 	16.0
"בג""ץ דן בעתירה משותפת של "" החברה להגנת הטבע "" ושל פעיל הימין נועם פדרמן . "	 פעיל הימין 	12.0
שניהם תובעים מהמדינה לשקם את אתר הר כורזים , אשר נהרס אשתקד לרגל ביקור האפיפיור במקום . 	 אתר הר כורזים 	15.0
העתירה מוגשת נגד חברת החשמל , שביצעה את העבודות , ונגד העומד בראשה - רפי פלד 	 חברת החשמל 	18.0
"דחפורי צה""ל הורסים כעת מבנה שממנו ירו ערבים על רכב שהסיע פועלים מאזור התעשיה בעטרות לביתם . "	" דחפורי צה""ל "	9.0
"דחפורי צה""ל הורסים כעת מבנה שממנו ירו ערבים על רכב שהסיע פועלים מאזור התעשיה בעטרות לביתם . "	 אזור התעשיה בעטרות 	16.0
רכבת נוסעים התנגשה הבוקר חזיתית עם רכבת מטען , בין ניקאסל לקינגס במחוז יורקשייר באנגליה . 	 רכבת נוסעים 	12.0
רכבת נוסעים התנגשה הבוקר חזיתית עם רכבת מטען , בין ניקאסל לקינגס במחוז יורקשייר באנגליה . 	 רכבת מטען 	12.0
רכבת נוסעים התנגשה הבוקר חזיתית עם רכבת מטען , בין ניקאסל לקינגס במחוז יורקשייר באנגליה . 	 מחוז יורקשייר 	14.0
כוחות הצלה רבים מנסים לפנות את הפצועים לבתי החולים באזור . 	 כוחות הצלה 	16.0
כוחות הצלה רבים מנסים לפנות את הפצועים לבתי החולים באזור . 	 בתי החולים 	7.0
"פלשתינים השליכו שלושה רימוני רסס , לעבר כוח צה""ל בגבול ישראל מצרים . "	 רימוני רסס 	11.0
"פלשתינים השליכו שלושה רימוני רסס , לעבר כוח צה""ל בגבול ישראל מצרים . "	" כוח צה""ל "	9.0
"פלשתינים השליכו שלושה רימוני רסס , לעבר כוח צה""ל בגבול ישראל מצרים . "	 גבול ישראל מצרים 	8.0
"סוכנות הידיעות "" קול רינה "" מדווחת כי נפצעה אשה בפיגוע ירי בצומת הגבע הצרפתית בירושלים . "	 סוכנות הידיעות 	18.0
"סוכנות הידיעות "" קול רינה "" מדווחת כי נפצעה אשה בפיגוע ירי בצומת הגבע הצרפתית בירושלים . "	 פיגוע ירי 	18.0
"סוכנות הידיעות "" קול רינה "" מדווחת כי נפצעה אשה בפיגוע ירי בצומת הגבע הצרפתית בירושלים . "	 צומת הגבע הצרפתית 	15.0
נוצרו פקקי תנועה על המחלף בכיוון צפון לפסגת זאת . 	 פקקי תנועה 	2.0
נוצרו פקקי תנועה על המחלף בכיוון צפון לפסגת זאת . 	 כיוון צפון 	16.0
"יוזמי הפרוייקט הם משרד הקליטה , החברה למתנ""סים ומשרד החינוך . "	 משרד הקליטה 	18.0
"יוזמי הפרוייקט הם משרד הקליטה , החברה למתנ""סים ומשרד החינוך . "	 משרד החינוך 	18.0
"יוזמי הפרוייקט הם משרד הקליטה , החברה למתנ""סים ומשרד החינוך . "	 יוזמי הפרוייקט 	18.0
"בכביש עוקף שכם ניהל אתמול בלילה כוח של צה""ל , מרדף אחר מחבלים שירו על ג'יפ צבאי ."	 כביש עוקף שכם 	14.0
"בכביש עוקף שכם ניהל אתמול בלילה כוח של צה""ל , מרדף אחר מחבלים שירו על ג'יפ צבאי ."	 ג'יפ צבאי 	9.0
"אש פלשתינית נורתה לעבר עמדת צה""ל הסמוכה לרחוב האנפה בשכונת גילה . "	" עמדת צה""ל "	9.0
"אש פלשתינית נורתה לעבר עמדת צה""ל הסמוכה לרחוב האנפה בשכונת גילה . "	 רחוב האנפה 	14.0
"אש פלשתינית נורתה לעבר עמדת צה""ל הסמוכה לרחוב האנפה בשכונת גילה . "	 שכונת גילה 	14.0
בשביתה משתתפים עובדי מנהל חינוך , מזכירות בתי ספר , סייעות גננות ועוד	 עובדי מנהל חינוך 	9.0
בשביתה משתתפים עובדי מנהל חינוך , מזכירות בתי ספר , סייעות גננות ועוד	 מזכירות בתי ספר 	9.0
בשביתה משתתפים עובדי מנהל חינוך , מזכירות בתי ספר , סייעות גננות ועוד	 סייעות גננות 	9.0
קצין הביטחון במסוף ניצנה , סגנו , וארבעה בעלי תפקידים בטחוניים נוספים במסוף נעצרו אתמול לפנות בוקר . 	 קצין הביטחון 	16.0
קצין הביטחון במסוף ניצנה , סגנו , וארבעה בעלי תפקידים בטחוניים נוספים במסוף נעצרו אתמול לפנות בוקר . 	 מסוף ניצנה 	16.0
קצין הביטחון במסוף ניצנה , סגנו , וארבעה בעלי תפקידים בטחוניים נוספים במסוף נעצרו אתמול לפנות בוקר . 	 בעלי תפקידים 	9.0
הם חשודים כי במשך ארבע שנים עסקו בהברחות מתוחכמות של פריטים שונים , וביניהם גם אמצעי לחימה .	 אמצעי לחימה	16.0
אריה דרעי יעיד היום בבית משפט השלום בירושלים במסגרת המשפט הציבורי המתנהל נגדו . 	 בבית משפט 	16.0
אריה דרעי יעיד היום בבית משפט השלום בירושלים במסגרת המשפט הציבורי המתנהל נגדו . 	 בבית משפט השלום 	15.0
לאחר עשרה ימי מעצר שוחרר אתמול מפקד תחנת משטרת משגב רב פקד גיא רייף למעצר בית .	 ימי מעצר 	17.0
לאחר עשרה ימי מעצר שוחרר אתמול מפקד תחנת משטרת משגב רב פקד גיא רייף למעצר בית .	 מפקד תחנת משטרת משגב 	9.0
לאחר עשרה ימי מעצר שוחרר אתמול מפקד תחנת משטרת משגב רב פקד גיא רייף למעצר בית .	 תחנת משטרת משגב 	16.0
לאחר עשרה ימי מעצר שוחרר אתמול מפקד תחנת משטרת משגב רב פקד גיא רייף למעצר בית .	 מעצר בית 	16.0
"ביומן ערוץ 7 אמר פרקליטו של רייף עו""ד טומי נדשי , שהחקירה הסתיימה , וכי עתה ממתינים להחלטה על הגשת כתב אישום . "	 הגשת כתב אישום 	16.0
"ביומן ערוץ 7 אמר פרקליטו של רייף עו""ד טומי נדשי , שהחקירה הסתיימה , וכי עתה ממתינים להחלטה על הגשת כתב אישום . "	 כתב אישום 	16.0
"עשרות פלשתינים מיידים בשעה זו אבנים ובקבוקי תבערה לעבר חיילי צה""ל ברחוב א - שללה בחברון . "	 עשרות פלשתינים 	20.0
"עשרות פלשתינים מיידים בשעה זו אבנים ובקבוקי תבערה לעבר חיילי צה""ל ברחוב א - שללה בחברון . "	 בקבוקי תבערה 	11.0
"עשרות פלשתינים מיידים בשעה זו אבנים ובקבוקי תבערה לעבר חיילי צה""ל ברחוב א - שללה בחברון . "	" חיילי צה""ל "	9.0
"צה""ל מגיב בירי אש וכדורי גומי לעבר המתפרעים ."	 ירי אש 	11.0
"צה""ל מגיב בירי אש וכדורי גומי לעבר המתפרעים ."	 כדורי גומי 	11.0
בית משפט השלום בעכו האריך היום את מעצרו של אדוארד נג'אר בן 49 מנצרת , שוטר - מתנדב החשוד במעורבות בפרשת גניבת הנשק מנשקיית קיבוץ מנרה . 	 בן 49 	16.0
בית משפט השלום בעכו האריך היום את מעצרו של אדוארד נג'אר בן 49 מנצרת , שוטר - מתנדב החשוד במעורבות בפרשת גניבת הנשק מנשקיית קיבוץ מנרה . 	 פרשת גניבת הנשק 	16.0
בית משפט השלום בעכו האריך היום את מעצרו של אדוארד נג'אר בן 49 מנצרת , שוטר - מתנדב החשוד במעורבות בפרשת גניבת הנשק מנשקיית קיבוץ מנרה . 	 נשקיית קיבוץ מנרה 	16.0
במהלך החמש שנים הקרובות יוקצו חמישה מיליארד שקלים לפיתוח מערך המסילות של רכבת ישראל . 	 פיתוח מערך המסילות 	16.0
במהלך החמש שנים הקרובות יוקצו חמישה מיליארד שקלים לפיתוח מערך המסילות של רכבת ישראל . 	 רכבת ישראל 	9.0
"יום הזכרון לשואה ולגבורה יצויין גם השנה בפולין על ידי שמונה משלחות של בני נוער , הכוללות 1,215 בני נוער , מורים ומלווים , יצאו למסע לפולין בראשית השבוע ויפקדו בה מחנות השמדה ואתרים אחרים , במסגרת התוכנית "" את אחי אנוכי מבקש "" של מינהל חברה ונוער במשרד החינוך . "	 יום הזכרון 	18.0
"יום הזכרון לשואה ולגבורה יצויין גם השנה בפולין על ידי שמונה משלחות של בני נוער , הכוללות 1,215 בני נוער , מורים ומלווים , יצאו למסע לפולין בראשית השבוע ויפקדו בה מחנות השמדה ואתרים אחרים , במסגרת התוכנית "" את אחי אנוכי מבקש "" של מינהל חברה ונוער במשרד החינוך . "	 בני נוער 	12.0
"יום הזכרון לשואה ולגבורה יצויין גם השנה בפולין על ידי שמונה משלחות של בני נוער , הכוללות 1,215 בני נוער , מורים ומלווים , יצאו למסע לפולין בראשית השבוע ויפקדו בה מחנות השמדה ואתרים אחרים , במסגרת התוכנית "" את אחי אנוכי מבקש "" של מינהל חברה ונוער במשרד החינוך . "	 מחנות השמדה 	16.0
"יום הזכרון לשואה ולגבורה יצויין גם השנה בפולין על ידי שמונה משלחות של בני נוער , הכוללות 1,215 בני נוער , מורים ומלווים , יצאו למסע לפולין בראשית השבוע ויפקדו בה מחנות השמדה ואתרים אחרים , במסגרת התוכנית "" את אחי אנוכי מבקש "" של מינהל חברה ונוער במשרד החינוך . "	 משרד החינוך 	18.0
ביום השואה יתקיימו עצרות השואה במחנה מאידנק וסיומו של מצעד החיים מאושוויץ לבירקנאו בשיתוף עמותת מצעד החיים . 	 יום השואה 	18.0
ביום השואה יתקיימו עצרות השואה במחנה מאידנק וסיומו של מצעד החיים מאושוויץ לבירקנאו בשיתוף עמותת מצעד החיים . 	 עצרות השואה 	18.0
ביום השואה יתקיימו עצרות השואה במחנה מאידנק וסיומו של מצעד החיים מאושוויץ לבירקנאו בשיתוף עמותת מצעד החיים . 	 מחנה מאידנק 	16.0
ביום השואה יתקיימו עצרות השואה במחנה מאידנק וסיומו של מצעד החיים מאושוויץ לבירקנאו בשיתוף עמותת מצעד החיים . 	 מצעד החיים 	16.0
ביום השואה יתקיימו עצרות השואה במחנה מאידנק וסיומו של מצעד החיים מאושוויץ לבירקנאו בשיתוף עמותת מצעד החיים . 	 עמותת מצעד החיים 	14.0
בפיקוד דרום הוחלט הערב להסיג חזרה את הכוחות שנכנסו אמש לרצועה - לתוך השטחים שבשליטת ישראל , כך אישרו גורמים בכירים בפיקוד דרום . 	 פיקוד דרום 	16.0
בפיקוד דרום הוחלט הערב להסיג חזרה את הכוחות שנכנסו אמש לרצועה - לתוך השטחים שבשליטת ישראל , כך אישרו גורמים בכירים בפיקוד דרום . 	 בשליטת ישראל 	9.0
באמצעות מכשירי קשר המתנדבים מקבלים הודעות מצוקה , ואלה הקרובים ביותר למקום האירוע מגישים לנפגעים עזרה ראשונה , וטיפול טרום אשפוזי . 	 הודעות מצוקה 	16.0
באמצעות מכשירי קשר המתנדבים מקבלים הודעות מצוקה , ואלה הקרובים ביותר למקום האירוע מגישים לנפגעים עזרה ראשונה , וטיפול טרום אשפוזי . 	 מכשירי קשר 	11.0
באמצעות מכשירי קשר המתנדבים מקבלים הודעות מצוקה , ואלה הקרובים ביותר למקום האירוע מגישים לנפגעים עזרה ראשונה , וטיפול טרום אשפוזי . 	 מקום האירוע 	16.0
אחרי הצהרים ייעשה אביך ויתכנו סופות חול בנגב 	 סופות חול 	7.0
הערב נפתחה אש לעבר מכונית ישראלית הנעה בציר עפרה - תפוח . 	 מכונית ישראלית 	12.0
הערב נפתחה אש לעבר מכונית ישראלית הנעה בציר עפרה - תפוח . 	 ציר עפרה - תפוח 	16.0
שני מטוסי ריסוס שעבדו בכיבוי השריפה נאלצו להפסיק מפאת החשיכה . 	 מטוסי ריסוס 	11.0
שני מטוסי ריסוס שעבדו בכיבוי השריפה נאלצו להפסיק מפאת החשיכה . 	 כיבוי השריפה 	16.0
"ליד עלי זהב נורה אזרח ערבי ישראלי , מטופל בבסיס צה""ל הסמוך . "	" בסיס צה""ל "	9.0
"בשעה האחרונה התפשטה האש לעמדת צה""ל בפאתי גילה , ליד רחוב האנפה . "	" עמדת צה""ל "	9.0
"בשעה האחרונה התפשטה האש לעמדת צה""ל בפאתי גילה , ליד רחוב האנפה . "	 פאתי גילה 	16.0
"בשעה האחרונה התפשטה האש לעמדת צה""ל בפאתי גילה , ליד רחוב האנפה . "	 רחוב האנפה 	16.0
הקהל מתבקש להגיע ל'יד וש ם' רק באמצעות ההסעות שיועמדו לצורך זה בהר הרצל . 	 הר הרצל 	15.0
"סגן ראש אגף ההסברה במשרד ראש הממשלה הד""ר רענן גיסין אמר אף הוא כי ההחלטה על הנסיגה התקבלה כבר ביום שלישי בצהרים . "	 סגן ראש אגף ההסברה 	9.0
"סגן ראש אגף ההסברה במשרד ראש הממשלה הד""ר רענן גיסין אמר אף הוא כי ההחלטה על הנסיגה התקבלה כבר ביום שלישי בצהרים . "	 אגף ההסברה 	18.0
"סגן ראש אגף ההסברה במשרד ראש הממשלה הד""ר רענן גיסין אמר אף הוא כי ההחלטה על הנסיגה התקבלה כבר ביום שלישי בצהרים . "	 משרד ראש הממשלה	9.0
"סגן ראש אגף ההסברה במשרד ראש הממשלה הד""ר רענן גיסין אמר אף הוא כי ההחלטה על הנסיגה התקבלה כבר ביום שלישי בצהרים . "	 יום שלישי 	17.0
מקורות פלשתינים דיווחו כי מחבל , הפעיל בזרוע הצבאית של החמאס , תושב הכפר ג'בליה , ניצל מניסיון חיסול ישראלי . 	 כפר ג'בליה 	16.0
מקורות פלשתינים דיווחו כי מחבל , הפעיל בזרוע הצבאית של החמאס , תושב הכפר ג'בליה , ניצל מניסיון חיסול ישראלי . 	 ניסיון חיסול 	16.0
עשרות ניצולי שואה מפגינים בשעה זו מול משרד האוצר בירושלים בדרישה לאשר חלוקת פיצויים נוספים לניצולי השואה . 	 ניצולי שואה 	18.0
עשרות ניצולי שואה מפגינים בשעה זו מול משרד האוצר בירושלים בדרישה לאשר חלוקת פיצויים נוספים לניצולי השואה . 	 משרד האוצר 	16.0
עשרות ניצולי שואה מפגינים בשעה זו מול משרד האוצר בירושלים בדרישה לאשר חלוקת פיצויים נוספים לניצולי השואה . 	 חלוקת פיצויים 	16.0
"פלשתינים ירו לפני זמן קצר לעבר כוח צה""ל סמוך לגדר המערכת של רצועת עזה , ממזרח למחסום ארז . "	" כוח צה""ל "	9.0
"פלשתינים ירו לפני זמן קצר לעבר כוח צה""ל סמוך לגדר המערכת של רצועת עזה , ממזרח למחסום ארז . "	 גדר המערכת 	10.0
"פלשתינים ירו לפני זמן קצר לעבר כוח צה""ל סמוך לגדר המערכת של רצועת עזה , ממזרח למחסום ארז . "	 רצועת עזה 	16.0
"פלשתינים ירו לפני זמן קצר לעבר כוח צה""ל סמוך לגדר המערכת של רצועת עזה , ממזרח למחסום ארז . "	 מחסום ארז 	14.0
חברי כנסת מהימין מתכוונים לבקר היום במאהל המחאה בחברון . 	 חברי כנסת 	9.0
חברי כנסת מהימין מתכוונים לבקר היום במאהל המחאה בחברון . 	 מאהל המחאה 	16.0
ואולם נראה שעדיין יש פער גדול בין עמדותיהם בכל הנוגע לשאלה מי היה אשם בהתנגשות בין מטוס הריגול האמריקני לבין מטוס הקרב הסיני . 	 מטוס הריגול 	12.0
ואולם נראה שעדיין יש פער גדול בין עמדותיהם בכל הנוגע לשאלה מי היה אשם בהתנגשות בין מטוס הריגול האמריקני לבין מטוס הקרב הסיני . 	 מטוס הקרב 	12.0
שר הביטחון , בנימין בן אליעזר , הורה להחליף קרוואנים המשמשים ככיתות לימוד במרחב המועצה האזורית חוף עזה , במבנים מבטון מזוין . 	 שר הביטחון 	9.0
שר הביטחון , בנימין בן אליעזר , הורה להחליף קרוואנים המשמשים ככיתות לימוד במרחב המועצה האזורית חוף עזה , במבנים מבטון מזוין . 	 כיתות לימוד 	16.0
שר הביטחון , בנימין בן אליעזר , הורה להחליף קרוואנים המשמשים ככיתות לימוד במרחב המועצה האזורית חוף עזה , במבנים מבטון מזוין . 	 המועצה האזורית חוף עזה 	16.0
בהודעה שפירסם משרד הביטחון נאמר כי ביצוע ההחלפה יבוצע על ידי פיקוד העורף וכי בעתיד יוחלפו המבנים הזמניים במבני קבע . 	 משרד הביטחון 	9.0
בהודעה שפירסם משרד הביטחון נאמר כי ביצוע ההחלפה יבוצע על ידי פיקוד העורף וכי בעתיד יוחלפו המבנים הזמניים במבני קבע . 	 ביצוע ההחלפה 	16.0
בהודעה שפירסם משרד הביטחון נאמר כי ביצוע ההחלפה יבוצע על ידי פיקוד העורף וכי בעתיד יוחלפו המבנים הזמניים במבני קבע . 	 פיקוד העורף 	18.0
בהודעה שפירסם משרד הביטחון נאמר כי ביצוע ההחלפה יבוצע על ידי פיקוד העורף וכי בעתיד יוחלפו המבנים הזמניים במבני קבע . 	 המבנים הזמניים 	12.0
בהודעה שפירסם משרד הביטחון נאמר כי ביצוע ההחלפה יבוצע על ידי פיקוד העורף וכי בעתיד יוחלפו המבנים הזמניים במבני קבע . 	 מבני קבע 	12.0
מקור באיחוד האירופי אמר שקיימת אפשרות להשעות את הסכם הסחר ושיתוף הפעולה עם ישראל , כ'עונש' על התקפותיה על שטחים פלשתיניים .	 הסכם הסחר 	16.0
"צה""ל וזרועות הבטחון ישובו לפיכך למודל הפעילות הנקודתית שמשמעותה התרכזות במודיעין ברמה גבוהה , שיאפשר את המשך מדיניות ההתנקשות בחיי מחבלים המבצעים פיגועים וכן מבצעים קרקעיים קצרי מועד , כגון פעילויות בזק ליליות להריסת מבנים ומטעים מהם נורית אש מרגמות ."	 זרועות הבטחון 	8.0
"צה""ל וזרועות הבטחון ישובו לפיכך למודל הפעילות הנקודתית שמשמעותה התרכזות במודיעין ברמה גבוהה , שיאפשר את המשך מדיניות ההתנקשות בחיי מחבלים המבצעים פיגועים וכן מבצעים קרקעיים קצרי מועד , כגון פעילויות בזק ליליות להריסת מבנים ומטעים מהם נורית אש מרגמות ."	 מודל הפעילות 	12.0
"צה""ל וזרועות הבטחון ישובו לפיכך למודל הפעילות הנקודתית שמשמעותה התרכזות במודיעין ברמה גבוהה , שיאפשר את המשך מדיניות ההתנקשות בחיי מחבלים המבצעים פיגועים וכן מבצעים קרקעיים קצרי מועד , כגון פעילויות בזק ליליות להריסת מבנים ומטעים מהם נורית אש מרגמות ."	 מדיניות ההתנקשות 	16.0
"צה""ל וזרועות הבטחון ישובו לפיכך למודל הפעילות הנקודתית שמשמעותה התרכזות במודיעין ברמה גבוהה , שיאפשר את המשך מדיניות ההתנקשות בחיי מחבלים המבצעים פיגועים וכן מבצעים קרקעיים קצרי מועד , כגון פעילויות בזק ליליות להריסת מבנים ומטעים מהם נורית אש מרגמות ."	 חיי מחבלים 	18.0
"צה""ל וזרועות הבטחון ישובו לפיכך למודל הפעילות הנקודתית שמשמעותה התרכזות במודיעין ברמה גבוהה , שיאפשר את המשך מדיניות ההתנקשות בחיי מחבלים המבצעים פיגועים וכן מבצעים קרקעיים קצרי מועד , כגון פעילויות בזק ליליות להריסת מבנים ומטעים מהם נורית אש מרגמות ."	 מבצעים קרקעיים 	12.0
